id,aligned_id,line,work_id
23,23,"— É o senhor? — exclamou Rita, estendendo-lhe a mão -. Não imagina como meu marido é seu amigo, falava sempre do senhor.",CO139MA
24,24,Camilo e Vilela olharam-se com ternura. Eram amigos deveras.,CO139MA
25,25,"Depois, Camilo confessou de si para si que a mulher do Vilela não desmentia as cartas do marido. Realmente, era graciosa e viva nos gestos, olhos cálidos, boca fina e interrogativa.",CO139MA
26,26,"Era um pouco mais velha que ambos: contava trinta anos, Vilela, vinte e nove e Camilo, vinte e seis. Entretanto, o porte grave de Vilela fazia-o parecer mais velho que a mulher, enquanto Camilo era um ingênuo na vida moral e prática. Faltava-lhe tanto a ação do tempo, como os óculos de cristal, que a natureza põe no berço de alguns para adiantar os anos. Nem experiência, nem intuição.",CO139MA
27,27,"Uniram-se os três. Convivência trouxe intimidade. Pouco depois morreu a mãe de Camilo, e nesse desastre, que o foi, os dois mostraram-se grandes amigos dele. Vilela cuidou do enterro, dos sufrágios e do inventário; Rita tratou especialmente do coração, e ninguém o faria melhor.",CO139MA
28,28,"Como daí chegaram ao amor, não o soube ele nunca. A verdade é que gostava de passar as horas ao lado dela, era a sua enfermeira moral, quase uma irmã, mas principalmente era mulher e bonita.",CO139MA
29,29,"Odor di femmina: eis o que ele aspirava nela, e em volta dela, para incorporá-lo em si próprio. Liam os mesmos livros, iam juntos a teatros e passeios. Camilo ensinou-lhe as damas e o xadrez e jogavam às noites; ela, mal, ele, para lhe ser agradável, pouco menos mal. Até aí as cousas. Agora a ação da pessoa, os olhos teimosos de Rita, que procuravam muita vez os dele, que os consultavam antes de o fazer ao marido, as mãos frias, as atitudes insólitas. Um dia, fazendo ele anos, recebeu de Vilela uma rica bengala de presente, e de Rita apenas um cartão com um vulgar cumprimento a lápis, e foi então que ele pôde ler no próprio coração; não conseguia arrancar os olhos do bilhetinho.",CO139MA
30,30,"Palavras vulgares; mas há vulgaridades sublimes, ou, pelo menos, deleitosas. A velha caleça de praça, em que pela primeira vez passeaste com a mulher amada, fechadinhos ambos, vale o carro de Apolo. Assim é o homem, assim são as cousas que o cercam.",CO139MA
31,31,"Camilo quis sinceramente fugir, mas já não pôde. Rita, como uma serpente, foi-se acercando dele, envolveu-o todo, fez-lhe estalar os ossos num espasmo, e pingou-lhe o veneno na boca. Ele ficou atordoado e subjugado. Vexame, sustos, remorsos, desejos, tudo sentiu de mistura; mas a batalha foi curta e a vitória, delirante. Adeus, escrúpulos!",CO139MA
32,32,"Não tardou que o sapato se acomodasse ao pé, e aí foram ambos, estrada fora, braços dados, pisando folgadamente por cima de ervas e pedregulhos, sem padecer nada mais que algumas saudades, quando estavam ausentes um do outro. A confiança e estima de Vilela continuavam a ser as mesmas.",CO139MA
33,33,"Um dia, porém, recebeu Camilo uma carta anônima, que lhe chamava imoral e pérfido, e dizia que a aventura era sabida de todos. Camilo teve medo, e, para desviar as suspeitas, começou a rarear as visitas à casa de Vilela. Este notou-lhe as ausências.",CO139MA
34,34,"Camilo respondeu que o motivo era uma paixão frívola de rapaz. Candura gerou astúcia. As ausências prolongaram-se, e as visitas cessaram inteiramente. Pode ser que entrasse também nisso um pouco de amor-próprio, uma intenção de diminuir os obséquios do marido, para tornar menos dura a aleivosia do ato.",CO139MA
35,35,"Foi por esse tempo que Rita, desconfiada e medrosa, correu à cartomante para consultá-la sobre a verdadeira causa do procedimento de Camilo. Vimos que a cartomante restituiu-lhe a confiança, e que o rapaz repreendeu-a por ter feito o que fez. Correram ainda algumas semanas. Camilo recebeu mais duas ou três cartas anônimas, tão apaixonadas, que não podiam ser advertência da virtude, mas despeito de algum pretendente; tal foi a opinião de Rita, que, por outras palavras mal compostas, formulou este pensamento: — a virtude é preguiçosa e avara, não gasta tempo nem papel; só o interesse é ativo e pródigo.",CO139MA
36,36,"Nem por isso Camilo ficou mais sossegado; temia que o anônimo fosse ter com Vilela, e a catástrofe viria então sem remédio. Rita concordou que era possível.",CO139MA
37,37,"— Bem — disse ela -; eu levo os sobrescritos para comparar a letra com a das cartas que lá aparecerem; se alguma for igual, guardo-a e rasgo-a...",CO139MA
38,38,"Nenhuma apareceu; mas daí a algum tempo Vilela começou a mostrar-se sombrio, falando pouco, como desconfiado. Rita deu-se pressa em dizê-lo ao outro, e sobre isso deliberaram. A opinião dela é que Camilo devia tornar à casa deles, tatear o marido, e pode ser até que lhe ouvisse a confidência de algum negócio particular.",CO139MA
39,39,"Camilo divergia; aparecer depois de tantos meses era confirmar a suspeita ou denúncia. Mais valia acautelarem-se, sacrificando-se por algumas semanas. Combinaram os meios de se corresponderem, em caso de necessidade, e separaram-se com lágrimas.",CO139MA
40,40,"No dia seguinte, estando na repartição, recebeu Camilo este bilhete de Vilela: ""Vem já, já, à nossa casa; preciso falar-te sem demora."". Era mais de meio-dia. Camilo saiu logo; na rua, advertiu que teria sido mais natural chamá-lo ao escritório; por que em casa? Tudo indicava matéria especial, e a letra, fosse realidade ou ilusão, afigurou-se-lhe trêmula. Ele combinou todas essas cousas com a notícia da véspera.",CO139MA
41,41,"— Vem já, já, à nossa casa; preciso falar-te sem demora — repetia ele com os olhos no papel.",CO139MA
42,42,"Imaginariamente, viu a ponta da orelha de um drama, Rita subjugada e lacrimosa, Vilela indignado, pegando da pena e escrevendo o bilhete, certo de que ele acudiria, e esperando-o para matá-lo. Camilo estremeceu, tinha medo: depois sorriu amarelo, e em todo caso repugnava-lhe a ideia de recuar, e foi andando. De caminho, lembrou-se de ir a casa; podia achar algum recado de Rita, que lhe explicasse tudo. Não achou nada, nem ninguém.",CO139MA
43,43,"Voltou à rua, e a ideia de estarem descobertos parecia-lhe cada vez mais verossímil; era natural uma denúncia anônima, até da própria pessoa que o ameaçara antes; podia ser que Vilela conhecesse agora tudo. A mesma suspensão das suas visitas, sem motivo aparente, apenas com um pretexto fútil, viria confirmar o resto.",CO139MA
44,44,"Camilo ia andando inquieto e nervoso. Não relia o bilhete, mas as palavras estavam decoradas, diante dos olhos, fixas; ou então — o que era ainda pior — eram-lhe murmuradas ao ouvido, com a própria voz de Vilela. ""Vem já, já, à nossa casa; preciso falar-te sem demora."" Ditas assim, pela voz do outro, tinham um tom de mistério e ameaça. Vem, já, já, para quê? Era perto de uma hora da tarde. A comoção crescia de minuto a minuto.",CO139MA
45,45,"Tanto imaginou o que se iria passar, que chegou a crê-lo e vê-lo. Positivamente, tinha medo. Entrou a cogitar em ir armado, considerando que, se nada houvesse, nada perdia, e a precaução era útil. Logo depois rejeitava a ideia, vexado de si mesmo, e seguia, picando o passo, na direção do largo da Carioca, para entrar num tilbury. Chegou, entrou e mandou seguir a trote largo.",CO139MA
46,46,"""Quanto antes, melhor"", pensou ele; ""não posso estar assim...""",CO139MA
47,47,"Mas o mesmo trote do cavalo veio agravar-lhe a comoção. O tempo voava, e ele não tardaria a entestar com o perigo. Quase no fim da rua da Guarda Velha, o tilbury teve de parar; a rua estava atravancada com uma carroça, que caíra. Camilo, em si mesmo, estimou o obstáculo, e esperou. No fim de cinco minutos, reparou que ao lado, à esquerda, ao pé do tilbury, ficava a casa da cartomante, a quem Rita consultara uma vez, e nunca ele desejou tanto crer na lição das cartas.",CO139MA
48,48,"Olhou, viu as janelas fechadas, quando todas as outras estavam abertas e pejadas de curiosos do incidente da rua. Dir-se-ia a morada do indiferente Destino.",CO139MA
49,49,"Camilo reclinou-se no tilbury, para não ver nada. A agitação dele era grande, extraordinária, e do fundo das camadas morais emergiam alguns fantasmas de outro tempo, as velhas crenças, as superstições antigas. O cocheiro propôs-lhe voltar a primeira travessa, e ir por outro caminho; ele respondeu que não, que esperasse. E inclinava-se para fitar a casa... Depois fez um gesto incrédulo: era a ideia de ouvir a cartomante, que lhe passava ao longe, muito longe, com vastas asas cinzentas; desapareceu, reapareceu, e tornou a esvair-se no cérebro; mas daí a pouco moveu outra vez as asas, mais perto, fazendo uns giros concêntricos... Na rua, gritavam os homens, safando a carroça:",CO139MA
50,50,— Anda! Agora! Empurra!Vá! Vá!,CO139MA
51,51,"Daí a pouco estaria removido o obstáculo. Camilo fechava os olhos, pensava em outras cousas; mas a voz do marido sussurrava-lhe às orelhas as palavras da carta: ""Vem, já, já..."".",CO139MA
52,52,"E ele via as contorções do drama e tremia. A casa olhava para ele. As pernas queriam descer e entrar... Camilo achou-se diante de um longo véu opaco... pensou rapidamente no inexplicável de tantas cousas. A voz da mãe repetia-lhe uma porção de casos extraordinários, e a mesma frase do príncipe de Dinamarca reboava-lhe dentro: ""Há mais cousas no céu e na terra do que sonha a filosofia..."". Que perdia ele, se...?",CO139MA
53,53,"Deu por si na calçada, ao pé da porta; disse ao cocheiro que esperasse, e rápido enfiou pelo corredor, e subiu a escada. A luz era pouca, os degraus, comidos dos pés, o corrimão, pegajoso; mas ele não viu nem sentiu nada. Trepou e bateu. Não aparecendo ninguém, teve ideia de descer; mas era tarde, a curiosidade fustigava-lhe o sangue, as fontes latejavam-lhe; ele tornou a bater uma, duas, três pancadas. Veio uma mulher; era a cartomante. Camilo disse que ia consultá-la, ela fê-lo entrar.",CO139MA
54,54,"Dali subiram ao sótão, por uma escada ainda pior que a primeira e mais escura. Em cima, havia uma salinha, mal alumiada por uma janela, que dava para o telhado dos fundos.",CO139MA
55,55,"Velhos trastes, paredes sombrias, um ar de pobreza, que antes aumentava do que destruía o prestígio.",CO139MA
56,56,"A cartomante fê-lo sentar diante da mesa, e sentou-se do lado oposto, com as costas para a janela, de maneira que a pouca luz de fora batia em cheio no rosto de Camilo.",CO139MA
57,57,"Abriu uma gaveta e tirou um baralho de cartas compridas e enxovalhadas. Enquanto as baralhava, rapidamente, olhava para ele, não de rosto, mas por baixo dos olhos.",CO139MA
58,58,"Era uma mulher de quarenta anos, italiana, morena e magra, com grandes olhos sonsos e agudos. Voltou três cartas sobre a mesa, e disse-lhe:",CO139MA
59,59,"— Vejamos primeiro o que é que o traz aqui. o senhor tem um grande susto... Camilo, maravilhado, fez um gesto afirmativo.",CO139MA
60,60,— E quer saber — continuou ela — Se lhe acontecerá alguma cousa ou não...,CO139MA
61,61,— a mim E a ela — explicou vivamente ele.,CO139MA
62,62,"A cartomante não sorriu; disse-lhe só que esperasse. Rápido pegou outra vez das cartas e baralhou-as, com os longos dedos finos, de unhas descuradas; baralhou-as bem, transpôs os maços, uma, duas, três vezes; depois começou a estendê-las. Camilo tinha os olhos nela, curioso e ansioso.",CO139MA
63,63,— As cartas dizem-me...,CO139MA
64,64,"Camilo inclinou-se para beber uma a uma as palavras. Então ela declarou-lhe que não tivesse medo de nada. Nada aconteceria nem a um nem a outro; ele, o terceiro, ignorava tudo. Não obstante, era indispensável muita cautela: ferviam invejas e despeitos. Falou-lhe do amor que os ligava, da beleza de Rita... Camilo estava deslumbrado. A cartomante acabou, recolheu as cartas e fechou-as na gaveta.",CO139MA
65,65,— a senhora restituiu-me a paz ao espírito — disse ele estendendo a mão por cima da mesa E apertando a da cartomante.,CO139MA
66,66,"Esta levantou-se, rindo.",CO139MA
67,67,"— Vá — disse ela -; vá, ragazzo innamorato...",CO139MA
68,68,"E de pé, com o dedo indicador, tocou-lhe na testa. Camilo estremeceu, como se fosse a mão da própria sibila, e levantou-se também. A cartomante foi à cômoda, sobre a qual estava um prato com passas, tirou um cacho destas, começou a despencá-las e comê-las, mostrando duas fileiras de dentes que desmentiam as unhas. Nessa mesma ação comum, a mulher tinha um ar particular. Camilo, ansioso por sair, não sabia como pagasse; ignorava o preço.",CO139MA
69,69,"— Passas custam dinheiro — disse ele afinal, tirando a carteira -. Quantas quer mandar buscar?",CO139MA
70,70,— Pergunte ao seu coração — respondeu ela.,CO139MA
71,71,"Camilo tirou uma nota de dez mil-réis, e deu-lha. Os olhos da cartomante fuzilaram. O preço usual era dois mil-réis.",CO139MA
72,72,"— Vejo bem que o senhor gosta muito dela... E faz bem; ela gosta muito do senhor. Vá, vá tranquilo. Olhe a escada, é escura; ponha o chapéu...",CO139MA
73,73,"A cartomante tinha já guardado a nota na algibeira, e descia com ele, falando, com um leve sotaque. Camilo despediu-se dela embaixo, e desceu a escada que levava à rua, enquanto a cartomante, alegre com a paga, tornava acima, cantarolando uma barcarola. Camilo achou o tilbury esperando; a rua estava livre. Entrou e seguiu a trote largo.",CO139MA
74,74,"Tudo lhe parecia agora melhor, as outras cousas traziam outro aspecto, o céu estava límpido e as caras, joviais. Chegou a rir dos seus receios, que chamou pueris; recordou os termos da carta de Vilela e reconheceu que eram íntimos e familiares. Onde é que ele lhe descobrira a ameaça? Advertiu também que eram urgentes, e que fizera mal em demorar-se tanto; podia ser algum negócio grave e gravíssimo.",CO139MA
75,75,"— Vamos, Vamos depressa — repetia ele ao cocheiro.",CO139MA
76,76,"E consigo, para explicar a demora ao amigo, engenhou qualquer cousa; parece que formou também o plano de aproveitar o incidente para tornar à antiga assiduidade... De volta com os planos, reboavam-lhe na alma as palavras da cartomante. Em verdade, ela adivinhara o objeto da consulta, o estado dele, a existência de um terceiro; por que não adivinharia o resto? O presente que se ignora vale o futuro. Era assim, lentas e contínuas, que as velhas crenças do rapaz iam tornando ao de cima, e o mistério empolgava-o com as unhas de ferro. Às vezes queria rir, e ria de si mesmo, algo vexado; mas a mulher, as cartas, as palavras secas e afirmativas, a exortação:",CO139MA
77,77,"Vá, vá, ragazzo innamorato; e no fim, ao longe, a barcarola da despedida, lenta e graciosa, tais eram os elementos recentes, que formavam, com os antigos, uma fé nova e vivaz.",CO139MA
78,78,"A verdade é que o coração ia alegre e impaciente, pensando nas horas felizes de outrora e nas que haviam de vir. Ao passar pela Glória, Camilo olhou para o mar, estendeu os olhos para fora, até onde a água e o céu dão um abraço infinito, e teve assim uma sensação do futuro, longo, longo, interminável.",CO139MA
79,79,"Daí a pouco chegou à casa de Vilela. Apeou-se, empurrou a porta de ferro do jardim e entrou. A casa estava silenciosa. Subiu os seis degraus de pedra, e mal teve tempo de bater, a porta abriu-se, e apareceu-lhe Vilela.",CO139MA
80,80,"— Desculpa, não pude vir mais cedo; que há?",CO139MA
81,81,"Vilela não lhe respondeu; tinha as feições decompostas; fez-lhe sinal, e foram para uma saleta interior. Entrando, Camilo não pôde sufocar um grito de terror: — ao fundo sobre o canapé, estava Rita morta e ensanguentada. Vilela pegou-o pela gola, e, com dois tiros de revólver, estirou-o morto no chão.",CO139MA
82,1,A causa secreta,CO162MA
83,2,"Garcia, em pé, mirava e estalava as unhas; Fortunato, na cadeira de balanço, olhava para o teto; Maria Luísa, perto da janela, concluía um trabalho de agulha.",CO162MA
84,3,"Havia já cinco minutos que nenhum deles dizia nada. Tinham falado do dia, que estivera excelente – de Catumbi, onde morava o casal Fortunato, e de uma casa de saúde, que adiante se explicará. Como os três personagens aqui presentes estão agora mortos e enterrados, tempo é de contar a história sem rebuço.",CO162MA
85,4,"Tinham falado também de outra cousa, além daquelas três, cousa tão feia e grave, que não lhes deixou muito gosto para tratar do dia, do bairro e da casa de saúde. Toda a conversação a este respeito foi constrangida.",CO162MA
86,5,"Agora mesmo, os dedos de Maria Luísa parecem ainda trêmulos, ao passo que há no rosto de Garcia uma expressão de severidade, que lhe não é habitual. Em verdade, o que se passou foi de tal natureza, que para fazê-lo entender é  preciso remontar à origem da situação.",CO162MA
87,6,"Garcia tinha-se formado em medicina, no ano anterior, 1861. No de 1860, estando ainda na Escola, encontrou-se com Fortunato, pela primeira vez, à porta da Santa Casa; entrava, quando o outro saía. Fez-lhe impressão a figura; mas, ainda assim, tê-la-ia esquecido, se não fosse o segundo encontro, poucos dias depois.",CO162MA
88,7,"Morava na rua de D. Manuel. Uma de suas raras distrações era ir ao Teatro de São Januário, que ficava perto, entre essa rua e a praia; ia uma ou duas vezes por mês, e nunca achava acima de quarenta pessoas. Só os mais intrépidos ousavam estender os passos até aquele recanto da cidade. Uma noite, estando nas cadeiras, apareceu ali Fortunato, e sentou-se ao pé dele.",CO162MA
89,8,"A peça era um dramalhão, cosido a facadas, ouriçado de imprecações e remorsos; mas Fortunato ouviu-a com singular interesse. Nos lances dolorosos, a atenção dele redobrava, os olhos iam avidamente de um personagem a outro, a tal ponto que o estudante suspeitou haver na peça reminiscências pessoais do vizinho.",CO162MA
90,9,"No fim do drama, veio uma farsa; mas Fortunato não esperou por ela e saiu; Garcia saiu atrás dele. Fortunato foi pelo beco do Cotovelo, rua de São José, até o largo da Carioca. Ia devagar, cabisbaixo, parando às vezes, para dar uma bengalada em algum cão que dormia; o cão ficava ganindo e ele ia andando.",CO162MA
91,10,"No largo da Carioca entrou num tilbury, e seguiu para os lados da praça da Constituição. Garcia voltou para casa sem saber mais nada.",CO162MA
92,11,"Decorreram algumas semanas. Uma noite, eram nove horas, estava em casa, quando ouviu rumor de vozes na escada; desceu logo do sótão, onde morava, ao primeiro andar, onde vivia um empregado do arsenal de guerra.",CO162MA
93,12,"Era este, que alguns homens conduziam, escada acima, ensanguentado.",CO162MA
94,13,"O preto que o servia acudiu a abrir a porta; o homem gemia, as vozes eram confusas, a luz, pouca. Deposto o ferido na cama, Garcia disse que era preciso chamar um médico.",CO162MA
95,14,– Já aí vem um – acudiu alguém.,CO162MA
96,15,"Garcia olhou: era o próprio homem da Santa Casa e do teatro. Imaginou que seria parente ou amigo do ferido; mas rejeitou a suposição, desde que lhe ouvira perguntar se este tinha família ou pessoa próxima.",CO162MA
97,16,"Disse-lhe o preto que não, e ele assumiu a direção do serviço, pediu às pessoas estranhas que se retirassem, pagou aos carregadores, e deu as primeiras ordens. Sabendo que o Garcia era vizinho e estudante de medicina, pediu-lhe que ficasse para ajudar o médico. Em seguida contou o que se passara.",CO162MA
98,17,"– Foi uma malta de capoeiras. Eu vinha do quartel de Moura, onde fui visitar um primo, quando ouvi um barulho muito grande, e logo depois um ajuntamento. Parece que eles feriram também a um sujeito que passava, e que entrou por um daqueles becos; mas eu só vi a este senhor, que atravessava a rua no momento em que um dos capoeiras, roçando por ele, meteu-lhe o punhal. Não caiu logo; disse onde morava, e, como era a dous passos, achei melhor trazê-lo.",CO162MA
99,18,– Conhecia-o antes? – perguntou Garcia.,CO162MA
100,19,"– Não, nunca o vi. Quem é?",CO162MA
101,20,"– É um bom homem, empregado no arsenal de guerra. Chama-se Gouvêa.",CO162MA
102,21,– Não sei quem é.,CO162MA
103,22,"Médico e subdelegado vieram daí a pouco; fez-se o curativo, e tomaram-se as informações. O desconhecido declarou chamar-se Fortunato Gomes da Silveira, ser capitalista, solteiro, morador em Catumbi. A ferida foi reconhecida grave. Durante o curativo, ajudado pelo estudante, Fortunato serviu de criado, segurando a bacia, a vela, os panos, sem perturbar nada, olhando friamente para o ferido, que gemia muito.",CO162MA
104,23,"No fim, entendeu-se particularmente com o médico, acompanhou-o até o patamar da escada, e reiterou ao subdelegado a declaração de estar pronto a auxiliar as pesquisas da polícia. Os dous saíram, ele e o estudante ficaram no quarto.",CO162MA
105,24,"Garcia estava atônito. Olhou para ele, viu-o sentar-se tranquilamente, estirar as pernas, meter as mãos nas algibeiras das calças, e fitar os olhos no ferido. Os olhos eram claros, cor de chumbo, moviam-se devagar, e tinham a expressão dura, seca e fria.",CO162MA
106,25,"Cara magra e pálida; uma tira estreita de barba, por baixo do queixo, e de uma têmpora a outra, curta, ruiva e rara. Teria quarenta anos. De quando em quando, voltava-se para o estudante, e perguntava alguma cousa acerca do ferido; mas tornava logo a olhar para ele, enquanto o rapaz lhe dava a resposta.",CO162MA
107,26,"A sensação que o estudante recebia era de repulsa ao mesmo tempo que de curiosidade; não podia negar que estava assistindo a um ato de rara dedicação, e, se era desinteressado como parecia, não havia mais que aceitar o coração humano como um poço de mistérios.",CO162MA
108,27,"Fortunato saiu pouco antes de uma hora; voltou nos dias seguintes, mas a cura fez-se depressa, e, antes de concluída, desapareceu sem dizer ao obsequiado onde morava. Foi o estudante que lhe deu as indicações do nome, rua e número.",CO162MA
109,28,"– Vou agradecer-lhe a esmola que me fez, logo que possa sair – disse o convalescente.",CO162MA
110,29,"Correu a Catumbi daí a seis dias. Fortunato recebeu-o constrangido, ouviu impaciente as palavras de agradecimento, deu-lhe uma resposta enfastiada e acabou batendo com as borlas do chambre no joelho. Gouvêa, defronte dele, sentado e calado, alisava o chapéu com os dedos, levantando os olhos de quando em quando, sem achar mais nada que dizer. No fim de dez minutos, pediu licença para sair, e saiu.",CO162MA
111,30,"– Cuidado com os capoeiras! – disse-lhe o dono da casa, rindo-se.",CO162MA
112,31,"O pobre-diabo saiu de lá mortificado, humilhado, mastigando a custo o desdém, forcejando por esquecê-lo, explicá-lo ou perdoá-lo, para que no coração só ficasse a memória do benefício; mas o esforço era vão. O ressentimento, hóspede novo e exclusivo, entrou e pôs fora o benefício, de tal modo que o desgraçado não teve mais que trepar à cabeça e refugiar-se ali como uma simples ideia. Foi assim que o próprio benfeitor insinuou a este homem o sentimento da ingratidão.",CO162MA
113,32,"Tudo isso assombrou o Garcia. Este moço possuía, em gérmen, a faculdade de decifrar os homens, de decompor os caracteres, tinha o amor da análise, e sentia o regalo, que dizia ser supremo, de penetrar muitas camadas morais, até apalpar o segredo de um organismo.",CO162MA
114,33,"Picado de curiosidade, lembrou-se de ir ter com o homem de Catumbi, mas advertiu que nem recebera dele o oferecimento formal da casa. Quando menos, era-lhe preciso um pretexto, e não achou nenhum.",CO162MA
115,34,"Tempos depois, estando já formado e morando na rua de Mata-cavalos, perto da do Conde, encontrou Fortunato em uma gôndola, encontrou-o ainda outras vezes, e a frequência trouxe a familiaridade. Um dia Fortunato convidou-o a ir visitá-lo ali perto, em Catumbi.",CO162MA
116,35,– Sabe que estou casado?,CO162MA
117,36,– Não sabia.,CO162MA
118,37,"– Casei-me há quatro meses, podia dizer quatro dias. Vá jantar conosco domingo.",CO162MA
119,38,– Domingo?,CO162MA
120,39,– Não esteja forjando desculpas; não admito desculpas. Vá domingo.,CO162MA
121,40,"Garcia foi lá domingo. Fortunato deu-lhe um bom jantar, bons charutos e boa palestra, em companhia da senhora, que era interessante. A figura dele não mudara; os olhos eram as mesmas chapas de estanho, duras e frias; as outras feições não eram mais atraentes que dantes.",CO162MA
122,41,"Os obséquios, porém, se não resgatavam a natureza, davam alguma compensação, e não era pouco. Maria Luísa é que possuía ambos os feitiços, pessoa e modos.",CO162MA
123,42,"Era esbelta, airosa, olhos meigos e submissos; tinha vinte e cinco anos e parecia não passar de dezenove.",CO162MA
124,43,"Garcia, à segunda vez que lá foi, percebeu que entre eles havia alguma dissonância de caracteres, pouca ou nenhuma afinidade moral, e da parte da mulher para com o marido uns modos que transcendiam o respeito e confinavam na resignação e no temor.",CO162MA
125,44,"Um dia, estando os três juntos, perguntou Garcia a Maria Luísa se tivera notícia das circunstâncias em que ele conhecera o marido.",CO162MA
126,45,– Não – respondeu a moça.,CO162MA
127,46,– Vai ouvir uma ação bonita.,CO162MA
128,47,– Não vale a pena – interrompeu Fortunato.,CO162MA
129,48,– A senhora vai ver se vale apena – insistiu o médico.,CO162MA
130,49,"Contou o caso da rua de D. Manuel. A moça ouviu-o espantada. Insensivelmente estendeu a mão e apertou o pulso ao marido, risonha e agradecida, como se acabasse de descobrir-lhe o coração. Fortunato sacudia os ombros, mas não ouvia com indiferença.",CO162MA
131,50,"No fim contou ele próprio a visita que o ferido lhe fez, com todos os pormenores da figura, dos gestos, das palavras atadas, dos silêncios, em suma, um estúrdio.",CO162MA
132,51,E ria muito ao contá-la. Não era o riso da dobrez. A dobrez é evasiva e oblíqua; o riso dele era jovial e franco.,CO162MA
133,52,"Singular homem!, pensou Garcia.",CO162MA
134,53,"Maria Luísa ficou desconsolada com a zombaria do marido; mas o médico restituiu-lhe a satisfação anterior, voltando a referir a dedicação deste e as suas raras qualidades de enfermeiro; tão bom enfermeiro, concluiu ele, que, se algum dia fundar uma casa de saúde, irei convidá-lo.",CO162MA
135,54,– Valeu? – perguntou Fortunato.,CO162MA
136,55,– Valeu o quê?,CO162MA
137,56,– Vamos fundar uma casa de saúde?,CO162MA
138,57,– Não valeu nada; estou brincando.,CO162MA
139,58,"– Podia-se fazer alguma cousa; e para o senhor, que começa a clínica, acho que seria bem bom. Tenho justamente uma casa que vai vagar, e serve.",CO162MA
